genus,family
Abeillia,Trochilidae
Abroscopus,Cettiidae
Aburria,Cracidae
Acanthagenys,Meliphagidae
Acanthidops,Thraupidae
Acanthisitta,Acanthisittidae
Acanthiza,Acanthizidae
Acanthorhynchus,Meliphagidae
Acanthornis,Acanthizidae
Accipiter,Accipitridae
Aceros,Bucerotidae
Achaetops,Macrosphenidae
Acridotheres,Sturnidae
Acrobatornis,Furnariidae
Acrocephalus,Acrocephalidae
Acropternis,Rhinocryptidae
Acryllium,Numididae
Actenoides,Alcedinidae
Actinodura,Leiothrichidae
Actitis,Scolopacidae
Actophilornis,Jacanidae
Adelomyia,Trochilidae
Aechmophorus,Podicipedidae
Aegithalos,Aegithalidae
Aegithina,Aegithinidae
Aegolius,Strigidae
Aegotheles,Aegothelidae
Aegypius,Accipitridae
Aenigmatolimnas,Rallidae
Aepypodius,Megapodiidae
Aeronautes,Apodidae
Aethia,Alcidae
Aethopyga,Nectariniidae
Afropavo,Phasianidae
Agamia,Ardeidae
Agapornis,Psittacidae
Agelaioides,Icteridae
Agelaius,Icteridae
Agelastes,Numididae
Agelasticus,Icteridae
Aglaeactis,Trochilidae
Aglaiocercus,Trochilidae
Agriornis,Tyrannidae
Ailuroedus,Ptilonorhynchidae
Aimophila,Emberizidae
Aix,Anatidae
Alaemon,Alaudidae
Alauda,Alaudidae
Alca,Alcidae
Alcedo,Alcedinidae
Alcippe,Pellorneidae
Aleadryas,Oreoicidae
Alectoris,Phasianidae
Alectroenas,Columbidae
Alectrurus,Tyrannidae
Alectura,Megapodiidae
Alethe,Turdidae
Alipiopsitta,Psittacidae
Alisterus,Psittacidae
Alle,Alcidae
Alophoixus,Pycnonotidae
Alopochelidon,Hirundinidae
Alopochen,Anatidae
Amadina,Estrildidae
Amalocichla,Petroicidae
Amandava,Estrildidae
Amaurocichla,Motacillidae
Amaurolimnas,Rallidae
Amaurornis,Rallidae
Amaurospiza,Cardinalidae
Amazilia,Trochilidae
Amazona,Psittacidae
Amazonetta,Anatidae
Amblycercus,Icteridae
Amblyornis,Ptilonorhynchidae
Amblyospiza,Ploceidae
Amblyramphus,Icteridae
Ammodramus,Emberizidae
Ammomanes,Alaudidae
Ammoperdix,Phasianidae
Ampeliceps,Sturnidae
Ampelioides,Cotingidae
Ampelion,Cotingidae
Amphilais,Locustellidae
Amphispiza,Emberizidae
Amytornis,Maluridae
Anabacerthia,Furnariidae
Anabazenops,Furnariidae
Anairetes,Tyrannidae
Anaplectes,Ploceidae
Anarhynchus,Charadriidae
Anas,Anatidae
Anastomus,Ciconiidae
Ancistrops,Furnariidae
Andigena,Ramphastidae
Androdon,Trochilidae
Andropadus,Pycnonotidae
Androphobus,Psophodidae
Anhima,Anhimidae
Anhinga,Anhingidae
Anisognathus,Thraupidae
Anodorhynchus,Psittacidae
Anomalospiza,Viduidae
Anopetia,Trochilidae
Anorrhinus,Bucerotidae
Anous,Laridae
Anser,Anatidae
Anseranas,Anseranatidae
Anthocephala,Trochilidae
Anthochaera,Meliphagidae
Anthornis,Meliphagidae
Anthoscopus,Remizidae
Anthracoceros,Bucerotidae
Anthracothorax,Trochilidae
Anthreptes,Nectariniidae
Anthus,Motacillidae
Antilophia,Pipridae
Anumbius,Furnariidae
Anurolimnas,Rallidae
Anurophasis,Phasianidae
Apalharpactes,Trogonidae
Apalis,Cisticolidae
Apaloderma,Trogonidae
Apalopteron,Zosteropidae
Aphanotriccus,Tyrannidae
Aphantochroa,Trochilidae
Aphelocephala,Acanthizidae
Aphelocoma,Corvidae
Aphrastura,Furnariidae
Aphriza,Scolopacidae
Aplonis,Sturnidae
Aplopelia,Columbidae
Aprosmictus,Psittacidae
Aptenodytes,Spheniscidae
Apteryx,Apterygidae
Apus,Apodidae
Aquila,Accipitridae
Ara,Psittacidae
Arachnothera,Nectariniidae
Aramides,Rallidae
Aramidopsis,Rallidae
Aramus,Aramidae
Aratinga,Psittacidae
Arborophila,Phasianidae
Archboldia,Ptilonorhynchidae
Archilochus,Trochilidae
Ardea,Ardeidae
Ardeola,Ardeidae
Ardeotis,Otididae
Arenaria,Scolopacidae
Argusianus,Phasianidae
Arremon,Emberizidae
Arremonops,Emberizidae
Arses,Monarchidae
Artamella,Vangidae
Artamus,Artamidae
Artisornis,Cisticolidae
Arundinicola,Tyrannidae
Ashbyia,Meliphagidae
Asio,Strigidae
Aspatha,Momotidae
Asthenes,Furnariidae
Astrapia,Paradisaeidae
Atalotriccus,Tyrannidae
Atelornis,Brachypteraciidae
Athene,Strigidae
Atlantisia,Rallidae
Atlapetes,Emberizidae
Atrichornis,Atrichornithidae
Attagis,Thinocoridae
Atthis,Trochilidae
Atticora,Hirundinidae
Attila,Tyrannidae
Augastes,Trochilidae
Aulacorhynchus,Ramphastidae
Auriparus,Remizidae
Automolus,Furnariidae
Aviceda,Accipitridae
Avocettula,Trochilidae
Aythya,Anatidae
Babax,Leiothrichidae
Baeolophus,Paridae
Baeopogon,Pycnonotidae
Balaeniceps,Balaenicipitidae
Balearica,Gruidae
Bambusicola,Phasianidae
Bangsia,Thraupidae
Barnardius,Psittacidae
Bartramia,Scolopacidae
Baryphthengus,Momotidae
Basileuterus,Parulidae
Basilornis,Sturnidae
Batara,Thamnophilidae
Bathmocercus,Cisticolidae
Batis,Platysteiridae
Batrachostomus,Podargidae
Berlepschia,Furnariidae
Bernieria,Bernieridae
Bias,Platysteiridae
Biatas,Thamnophilidae
Biziura,Anatidae
Bleda,Pycnonotidae
Blythipicus,Picidae
Boissonneaua,Trochilidae
Bolbopsittacus,Psittacidae
Bolborhynchus,Psittacidae
Bombycilla,Bombycillidae
Bonasa,Phasianidae
Bostrychia,Threskiornithidae
Botaurus,Ardeidae
Bowdleria,Locustellidae
Brachycope,Ploceidae
Brachygalba,Galbulidae
Brachypteracias,Brachypteraciidae
Brachypteryx,Muscicapidae
Brachyramphus,Alcidae
Bradornis,Muscicapidae
Bradypterus,Locustellidae
Branta,Anatidae
Brotogeris,Psittacidae
Bubalornis,Ploceidae
Bubo,Strigidae
Bubulcus,Ardeidae
Bucanetes,Fringillidae
Buccanodon,Lybiidae
Bucco,Bucconidae
Bucephala,Anatidae
Buceros,Bucerotidae
Bucorvus,Bucorvidae
Buettikoferella,Locustellidae
Bulweria,Procellariidae
Buphagus,Buphagidae
Burhinus,Burhinidae
Busarellus,Accipitridae
Butastur,Accipitridae
Buteo,Accipitridae
Buteogallus,Accipitridae
Buthraupis,Thraupidae
Butorides,Ardeidae
Bycanistes,Bucerotidae
Cacatua,Psittacidae
Cacicus,Icteridae
Cacomantis,Cuculidae
Cairina,Anatidae
Calamanthus,Acanthizidae
Calamospiza,Emberizidae
Calandrella,Alaudidae
Calcarius,Calcariidae
Calicalicus,Vangidae
Calidris,Scolopacidae
Caliechthrus,Cuculidae
Callacanthis,Fringillidae
Callaeas,Callaeatidae
Callipepla,Odontophoridae
Calliphlox,Trochilidae
Callocephalon,Psittacidae
Callonetta,Anatidae
Calochaetes,Thraupidae
Calocitta,Corvidae
Caloenas,Columbidae
Calonectris,Procellariidae
Caloperdix,Phasianidae
Calorhamphus,Megalaimidae
Calothorax,Trochilidae
Calypte,Trochilidae
Calyptocichla,Pycnonotidae
Calyptomena,Eurylaimidae
Calyptophilus,Thraupidae
Calyptorhynchus,Psittacidae
Calyptura,Cotingidae
