species,genus,family,species.relative,genus.relative
Accipiter badius,Accipiter,,,
Accipiter nisus,Accipiter,,,
Accipiter soloensis,Accipiter,,,
Accipiter trivirgatus,Accipiter,,,
Accipiter virgatus,Accipiter,,,
Acridotheres cristatellus,Acridotheres,,,
Aethopyga christinae,Aethopyga,,,
Alauda gulgula,Alauda,,,
Alcedo atthis,Alcedo,,,
Alcippe brunnea,Alcippe,,,
Alcippe morrisonia,Alcippe,,,
Amaurornis phoenicurus,Amaurornis,,,
Anthus cervinus,Anthus,,,
Anthus hodgsoni,Anthus,,,
Anthus novaeseelandiae,Anthus,,,
Apus pacificus,Apus
Aquila fasciata,Aquila
Arborophila ardens,Arborophila
Ardea cinerea,Ardea
Ardeola bacchus,Ardeola
Artamus fuscus,Artamus
Aviceda jerdoni,Aviceda
Blythipicus pyrrhotis,Blythipicus
Bradypterus luteoventris,Bradypterus
Bubulcus ibis,Bubulcus
Buteo buteo,Buteo
Butorides striatus,Butorides
Capella gallinago,Capella
Capella megala,Capella
Capella stenura,Capella
Caprimulgus affinis,Caprimulgus
Caprimulgus indicus,Caprimulgus
Caprimulgus macrurus,Caprimulgus
Centropus sinensis,Centropus
Centropus toulou,Centropus
Ceryle lugubris,Ceryle
Ceryle rudis,Ceryle
Cettia diphone,Cettia
Cettia pallidipes,Cettia
Cettia squameiceps,Cettia
Ceyx erithacus,Ceyx
Chalcites maculatus,Chalcites
Chalcophaps indica,Chalcophaps
Charadrius dominica,Charadrius
Charadrius dubius,Charadrius
Chloropsis hardwickii,Chloropsis
Cinclidium leucurum,Cinclidium
Circus cyaneus,Circus
Cissa thalassina,Cissa
Cissa whiteheadi,Cissa
Copsychus malabaricus,Copsychus
Copsychus saularis,Copsychus
Coracina melaschistos,Coracina
Coracina novaehollandiae,Coracina
Corvus corone,Corvus
Corvus macrorhynchos,Corvus
Corvus torquatus,Corvus
Criniger pallidus,Criniger
Crypsirina formosae,Crypsirina
Crypsirina temnura,Crypsirina
Cuculus merulinus,Cuculus
Cuculus micropterus,Cuculus
Culumba punicea,Culumba
Cypsiurus parvus,Cypsiurus
Delichon urbica,Delichon
Dendrocopos canicapillus,Dendrocopos
Dendrocopos major,Dendrocopos
Dendronanthus indicus,Dendronanthus
Dicaeum concolor,Dicaeum
Dicaeum cruentatum,Dicaeum
Dicaeum ignipectus,Dicaeum
Dicrurus aeneus,Dicrurus
Dicrurus annectans,Dicrurus
