"level","family","genus","rn","rn.bl","bn","bn.bl","gen.n","sp.n","taxa"
"F","Tinamidae","","N2",76.0077624462,"N3",63.715563006,9,47,""
"F","Rheidae","","N50",46.5223632582,"N51",3.006870577,1,2,""
"F","Apterygidae","","N52",40.2344291342,"N53",9.191144405,1,4,""
"F","Dromaiidae","","N56",24.15448603,"N56",24.15448603,1,1,"Dromaius_novaehollandiae"
"F","Casuariidae","","N56",24.1544859942,"N57",3.3575412999,1,3,""
"F","Struthionidae","","N49",50.99677769,"N49",50.99677769,1,1,"Struthio_camelus"
"F","Odontophoridae","","N65",35.02415195653,"N66",29.240333093,9,32,""
"F","Phasianidae","","N63",39.4506100452,"N64",39.401887831,44,179,""
"F","Numididae","","N63",39.4506100452,"N274",16.38025797,4,6,""
"F","Cracidae","","N62",64.4957660952,"N279",17.1873917615,11,50,""
"F","Megapodiidae","","N61",67.9407893462,"N328",37.419241196,7,21,""
"F","Anhimidae","","N348",79.5919981242,"N349",20.160201154,2,3,""
"F","Anseranatidae","","N351",73.62648782,"N351",73.62648782,1,1,"Anseranas_semipalmata"
"F","Anatidae","","N351",73.6264878282,"N352",32.4247561795,47,156,""
"F","Eurypygidae","","N510",40.04844761,"N510",40.04844761,1,1,"Eurypyga_helias"
"F","Rhynochetidae","","N510",40.04844761,"N510",40.04844761,1,1,"Rhynochetos_jubatus"
"F","Nyctibiidae","","N511",79.63947757446,"N512",49.26072053,1,7,""
"F","Podargidae","","N520",73.09443460076,"N521",50.10465638,3,15,""
"F","Caprimulgidae","","N520",73.09443460076,"N535",73.09370365,15,91,""
"F","Aegothelidae","","N625",68.48445929176,"N626",46.07553548,1,9,""
"F","Trochilidae","","N634",63.62848589276,"N635",25.8017207479,106,334,""
"F","Apodidae","","N968",49.92257179276,"N969",47.322143154,18,103,""
"F","Hemiprocnidae","","N968",49.92257179276,"N1071",36.82945061,1,4,""
"F","Steatornithidae","","N518",79.20772412,"N518",79.20772412,1,1,"Steatornis_caripensis"
"F","Turnicidae","","N1077",57.5969446188,"N1078",43.642945983,2,16,""
"F","Dromadidae","","N1094",29.65027745,"N1094",29.65027745,1,1,"Dromas_ardeola"
"F","Glareolidae","","N1094",29.6502774564,"N1095",26.8360990487,4,17,""
"F","Laridae","","N1111",25.5014657488,"N1112",22.3352490734,15,100,""
"F","Alcidae","","N1211",23.3534297178,"N1212",19.096648658,10,23,""
"F","Stercorariidae","","N1211",23.3534297178,"N1234",9.0416758949,2,8,""
"F","Thinocoridae","","N1243",41.2338625838,"N1244",34.025780271,2,4,""
"F","Pedionomidae","","N1243",41.23386257,"N1243",41.23386257,1,1,"Pedionomus_torquatus"
"F","Rostratulidae","","N1247",48.4204466418,"N1248",27.92077121,1,3,""
"F","Jacanidae","","N1247",48.4204466418,"N1250",35.409210995,6,8,""
